Id,y
50100,1.9182193
50101,2.2063127
50102,1.8145959
50103,2.3890893
50104,1.6427305
50105,1.6161113
50106,1.858953
50107,2.5201573
50108,1.8485873
50109,1.8916523
50110,1.3530285
50111,1.6312866
50112,1.5213609
50113,1.6659467
50114,1.7370243
50115,1.9422753
50116,1.3726897
50117,2.0452964
50118,2.3219173
50119,1.7141211
50120,2.000725
50121,2.3177073
50122,1.0062499
50123,2.1175625
50124,1.5750768
50125,2.2046115
50126,1.5541279
50127,1.8490568
50128,1.6064545
50129,1.9946098
50130,1.7951347
50131,2.200973
50132,1.7713091
50133,1.7546412
50134,1.8023605
50135,2.12612
50136,1.7302723
50137,2.0470133
50138,1.6102132
50139,1.7409133
50140,2.2338543
50141,2.3371258
50142,2.000899
50143,1.416796
50144,1.753546
50145,2.1112642
50146,1.7599285
50147,2.4190366
50148,2.0176098
50149,1.6296207
50150,1.4305385
50151,1.7210429
50152,1.5319612
50153,1.9462447
50154,1.8991879
50155,2.4972374
50156,1.8625652
50157,0.9657856
50158,2.2674763
50159,1.0461495
50160,1.7628733
50161,2.333247
50162,2.178822
50163,1.9615146
50164,1.9527518
50165,1.4016122
50166,1.3970628
50167,1.7275358
50168,1.7088139
50169,1.0983603
50170,2.1399307
50171,2.0139856
50172,1.5246907
50173,1.9643981
50174,2.2195926
50175,1.7664201
50176,2.2673945
50177,2.2919571
50178,2.1587694
50179,1.7886232
50180,2.1389887
50181,1.7612696
50182,1.8679268
50183,1.3179517
50184,2.404514
50185,1.7231158
50186,2.162575
50187,2.5066094
50188,2.1729608
50189,2.3733487
50190,2.4619253
50191,2.1723335
50192,1.9870845
50193,2.0610154
50194,1.8061349
50195,1.7040528
50196,2.1379442
50197,2.0318694
50198,2.0611448
50199,2.4980578
50200,1.9147053
50201,2.3269708
50202,1.7280623
50203,1.9922822
50204,1.470144
50205,1.290262
50206,1.7757163
50207,2.1009476
50208,1.8827333
50209,1.4211307
50210,2.118269
50211,1.5698795
50212,2.0838678
50213,2.4577374
50214,1.9169761
50215,1.3994987
50216,1.3362243
50217,1.6788958
50218,1.7476944
50219,2.0911205
50220,2.3127697
50221,1.9422756
50222,2.0113037
50223,1.9980983
50224,1.4924743
50225,2.1674309
50226,1.9586068
50227,2.1855805
50228,1.7765403
50229,1.9081404
50230,1.9632345
50231,1.8955082
50232,1.9923353
50233,2.5109887
50234,1.6272506
50235,1.4729128
50236,1.7230768
50237,1.7000515
50238,1.8822997
50239,2.2617178
50240,2.4478643
50241,1.1467891
50242,2.0911438
50243,1.6791533
50244,1.4659181
50245,1.9979649
50246,2.140368
50247,1.2832241
50248,2.6959271
50249,2.2182577
50250,2.2901158
50251,1.8479469
50252,2.6310067
50253,1.9405792
50254,1.6982801
50255,1.7928991
50256,2.1017995
50257,1.7586427
50258,1.6965969
50259,2.2398517
50260,0.9154217
50261,2.2707481
50262,1.7984914
50263,1.7198241
50264,1.2022809
50265,1.8137529
50266,1.7613041
50267,2.1529443
50268,1.8735367
50269,1.6858647
50270,2.2174335
50271,1.9448762
50272,2.1647022
50273,2.104117
50274,2.0664594
50275,1.2218765
50276,2.4320521
50277,1.6067994
50278,1.4747162
50279,1.6065359
50280,2.0069566
50281,1.4618683
50282,2.2064312
50283,2.351529
50284,1.6151822
50285,1.6249471
50286,1.781848
50287,2.5299082
50288,2.482657
50289,1.5614672
50290,1.9464821
50291,2.4078324
50292,1.7771792
50293,2.4057357
50294,1.534429
50295,1.8315067
50296,2.5899148
50297,1.8304062
50298,2.1024778
50299,2.248851
50300,1.6498976
50301,2.2142415
50302,2.1364079
50303,1.9689592
50304,1.5483513
50305,0.8184135
50306,1.2117946
50307,1.9247012
50308,2.1989026
50309,1.1907277
50310,2.1518884
50311,2.0026913
50312,2.1390436
50313,1.9130207
50314,1.7991713
50315,1.8656693
50316,1.7043374
50317,1.6043184
50318,2.5096135
50319,2.0053537
50320,2.3432581
50321,2.191471
50322,2.1439767
50323,1.174788
50324,1.9752932
50325,1.7611653
50326,1.6955924
50327,1.7364488
50328,1.5965089
50329,2.0454047
50330,1.5708741
50331,2.1655924
50332,1.6795945
50333,1.7750012
50334,2.0349188
50335,1.6974087
50336,1.9659767
50337,1.4189396
50338,1.9059973
50339,1.7420766
50340,1.7454519
50341,1.5884488
50342,1.8769481
50343,1.2136319
50344,1.6283138
50345,2.3811796
50346,1.0989294
50347,2.3524017
50348,2.2734332
50349,1.2823288
50350,2.2161589
50351,1.9542687
50352,1.9511636
50353,1.5246713
50354,1.4625683
50355,1.7244787
50356,1.9848852
50357,2.1929932
50358,1.993275
50359,1.6932395
50360,1.9893724
50361,1.9412721
50362,1.6761311
50363,1.9537297
50364,1.6116097
50365,1.3577107
50366,2.310238
50367,1.6967078
50368,2.2530985
50369,2.4977531
50370,2.428897
50371,2.0870447
50372,2.1294003
50373,1.8496817
50374,1.8575798
50375,1.8560085
50376,2.236846
50377,1.0677018
50378,1.8342528
50379,1.9921013
50380,1.6595576
50381,2.1814616
50382,2.1710613
50383,1.9303036
50384,1.9142615
50385,2.3306682
50386,1.5135876
50387,2.4093254
50388,1.5124614
50389,1.974384
50390,1.28843
50391,2.063068
50392,1.8790674
50393,1.6468558
50394,1.7774304
50395,2.001562
50396,2.1522064
50397,1.7152352
50398,1.5246778
50399,1.745327
50400,2.3731203
50401,1.849616
50402,1.4692422
50403,1.9752454
50404,1.7388136
50405,2.1841297
50406,2.0596838
50407,2.2428393
50408,2.0851512
50409,1.6900039
50410,1.5959362
50411,1.9638766
50412,2.3766289
50413,1.9902931
50414,1.4527131
50415,1.5409291
50416,1.7217848
50417,1.7824633
50418,1.934389
50419,1.9827104
50420,1.7803885
50421,2.1752648
50422,1.8683463
50423,2.4966962
50424,1.5276792
50425,1.8471231
50426,2.097492
50427,2.0649037
50428,2.226603
50429,1.8028861
50430,2.209591
50431,1.8243637
50432,1.7132335
50433,1.296351
50434,2.0413864
50435,2.2496362
50436,1.9435185
50437,2.0835617
50438,1.4596729
50439,1.8863944
50440,1.7857335
50441,2.1848989
50442,2.3833995
50443,1.8695049
50444,1.7975584
50445,1.159333
50446,1.6009215
50447,1.675068
50448,1.3326129
50449,2.0492623
50450,2.1957734
50451,2.332401
50452,2.4915075
50453,2.319141
50454,2.0876763
50455,1.8901451
50456,1.6813467
50457,1.6096627
50458,1.9721591
50459,1.6065582
50460,2.0324838
50461,1.5789759
50462,2.2595112
50463,2.3279052
50464,1.6493043
50465,1.5593538
50466,1.1744922
50467,1.9905446
50468,2.0580473
50469,1.5260589
50470,1.4102571
50471,1.9842352
50472,1.8575464
50473,1.4723878
50474,2.0284495
50475,1.9082341
50476,1.7717218
50477,2.1842418
50478,2.3109553
50479,1.8389797
50480,1.7860053
50481,1.9156986
50482,2.621819
50483,1.5753062
50484,1.7831178
50485,1.417237
50486,2.253657
50487,2.2410219
50488,1.8459007
50489,2.0427256
50490,1.8864424
50491,2.6524363
50492,2.1752288
50493,2.1959271
50494,2.3448935
50495,1.326412
50496,1.5442317
50497,1.6008546
50498,1.7837524
50499,1.2450106
50500,1.6980869
50501,1.8157433
50502,1.5432324
50503,1.749068
50504,1.546917
50505,1.9714948
50506,1.5715622
50507,2.3011692
50508,2.1909447
50509,1.154855
50510,1.5968227
50511,1.612327
50512,1.9736964
50513,2.3591592
50514,1.8777001
50515,1.7601879
50516,2.1545813
50517,2.056141
50518,1.1617886
50519,1.170213
50520,2.0320249
50521,1.8022952
50522,2.2015054
50523,1.6962291
50524,2.1120243
50525,1.7009271
50526,2.2009108
50527,2.039786
50528,1.8312459
50529,1.0538106
50530,1.5680482
50531,2.1158547
50532,2.4982016
50533,1.7737308
50534,1.8835857
50535,2.1577468
50536,1.6114582
50537,1.8104416
50538,2.2774224
50539,1.7369936
50540,2.8617082
50541,2.0085106
50542,1.5505507
50543,1.1896219
50544,1.8803434
50545,2.2109702
50546,2.332715
50547,2.0740314
50548,2.3511782
50549,1.8769438
50550,1.5012114
50551,1.7653869
50552,1.5964081
50553,2.0217159
50554,2.1864562
50555,1.9447923
50556,1.528157
50557,2.3100688
50558,2.0249567
50559,1.8212179
50560,1.5408849
50561,1.8200631
50562,2.2892077
50563,1.8759732
50564,2.2316482
50565,2.302153
50566,2.1954038
50567,2.3000832
50568,1.7192473
50569,1.785011
50570,2.0621455
50571,2.299247
50572,2.019592
50573,1.850555
